country_id,country
1,GBR
2,PRT
3,USA
4,ESP
5,IRL
6,FRA
7,Unknown
8,ROU
9,NOR
10,OMN
11,ARG
12,POL
13,DEU
14,BEL
15,CHE
16,CN
17,GRC
18,ITA
19,NLD
20,DNK
21,RUS
22,SWE
23,AUS
24,EST
25,CZE
26,BRA
27,FIN
28,MOZ
29,BWA
30,LUX
31,SVN
32,ALB
33,IND
34,CHN
35,MEX
36,MAR
37,UKR
38,SMR
39,LVA
40,PRI
41,SRB
42,CHL
43,AUT
44,BLR
45,LTU
46,TUR
47,ZAF
48,AGO
49,ISR
50,CYM
51,ZMB
52,CPV
53,ZWE
54,DZA
55,KOR
56,CRI
57,HUN
58,ARE
59,TUN
60,JAM
61,HRV
62,HKG
63,IRN
64,GEO
65,AND
66,GIB
67,URY
68,JEY
69,CAF
70,CYP
71,COL
72,GGY
73,KWT
74,NGA
75,MDV
76,VEN
77,SVK
78,FJI
79,KAZ
80,PAK
81,IDN
82,LBN
83,PHL
84,SEN
85,SYC
86,AZE
87,BHR
88,NZL
89,THA
90,DOM
91,MKD
92,MYS
93,ARM
94,JPN
95,LKA
96,CUB
97,CMR
98,BIH
99,MUS
100,COM
101,SUR
102,UGA
103,BGR
104,CIV
105,JOR
106,SYR
107,SGP
108,BDI
109,SAU
110,VNM
111,PLW
112,EGY
113,PER
114,MLT
115,MWI
116,ECU
117,MDG
118,ISL
119,UZB
120,NPL
121,BHS
122,MAC
123,TGO
124,TWN
125,DJI
126,STP
127,KNA
128,ETH
129,IRQ
130,HND
131,RWA
132,QAT
133,KHM
134,MCO
135,BGD
136,IMN
137,TJK
138,NIC
139,BEN
140,VGB
141,TZA
142,GAB
143,GHA
144,TMP
145,GLP
146,KEN
147,LIE
148,GNB
149,MNE
150,UMI
151,MYT
152,FRO
153,MMR
154,PAN
155,BFA
156,LBY
157,MLI
158,NAM
159,BOL
160,PRY
161,BRB
162,ABW
163,AIA
164,SLV
165,DMA
166,PYF
167,GUY
168,LCA
169,ATA
170,GTM
171,ASM
172,MRT
173,NCL
174,KIR
175,SDN
176,ATF
177,SLE
178,LAO
