date_id,arrival_date,year,month,month_name,day,quarter,is_weekend
20150701,2015-07-01,2015,7,July,1,3,False
20150702,2015-07-02,2015,7,July,2,3,False
20150703,2015-07-03,2015,7,July,3,3,False
20150704,2015-07-04,2015,7,July,4,3,True
20150705,2015-07-05,2015,7,July,5,3,True
20150706,2015-07-06,2015,7,July,6,3,False
20150707,2015-07-07,2015,7,July,7,3,False
20150708,2015-07-08,2015,7,July,8,3,False
20150709,2015-07-09,2015,7,July,9,3,False
20150710,2015-07-10,2015,7,July,10,3,False
20150711,2015-07-11,2015,7,July,11,3,True
20150712,2015-07-12,2015,7,July,12,3,True
20150713,2015-07-13,2015,7,July,13,3,False
20150714,2015-07-14,2015,7,July,14,3,False
20150715,2015-07-15,2015,7,July,15,3,False
20150716,2015-07-16,2015,7,July,16,3,False
20150717,2015-07-17,2015,7,July,17,3,False
20150718,2015-07-18,2015,7,July,18,3,True
20150719,2015-07-19,2015,7,July,19,3,True
20150720,2015-07-20,2015,7,July,20,3,False
20150721,2015-07-21,2015,7,July,21,3,False
20150722,2015-07-22,2015,7,July,22,3,False
20150723,2015-07-23,2015,7,July,23,3,False
20150724,2015-07-24,2015,7,July,24,3,False
20150725,2015-07-25,2015,7,July,25,3,True
20150726,2015-07-26,2015,7,July,26,3,True
20150727,2015-07-27,2015,7,July,27,3,False
20150728,2015-07-28,2015,7,July,28,3,False
20150729,2015-07-29,2015,7,July,29,3,False
20150730,2015-07-30,2015,7,July,30,3,False
20150731,2015-07-31,2015,7,July,31,3,False
20150801,2015-08-01,2015,8,August,1,3,True
20150802,2015-08-02,2015,8,August,2,3,True
20150803,2015-08-03,2015,8,August,3,3,False
20150804,2015-08-04,2015,8,August,4,3,False
20150805,2015-08-05,2015,8,August,5,3,False
20150806,2015-08-06,2015,8,August,6,3,False
20150807,2015-08-07,2015,8,August,7,3,False
20150808,2015-08-08,2015,8,August,8,3,True
20150809,2015-08-09,2015,8,August,9,3,True
20150810,2015-08-10,2015,8,August,10,3,False
20150811,2015-08-11,2015,8,August,11,3,False
20150812,2015-08-12,2015,8,August,12,3,False
20150813,2015-08-13,2015,8,August,13,3,False
20150814,2015-08-14,2015,8,August,14,3,False
20150815,2015-08-15,2015,8,August,15,3,True
20150816,2015-08-16,2015,8,August,16,3,True
20150817,2015-08-17,2015,8,August,17,3,False
20150818,2015-08-18,2015,8,August,18,3,False
20150819,2015-08-19,2015,8,August,19,3,False
20150820,2015-08-20,2015,8,August,20,3,False
20150821,2015-08-21,2015,8,August,21,3,False
20150822,2015-08-22,2015,8,August,22,3,True
20150823,2015-08-23,2015,8,August,23,3,True
20150824,2015-08-24,2015,8,August,24,3,False
20150825,2015-08-25,2015,8,August,25,3,False
20150826,2015-08-26,2015,8,August,26,3,False
20150827,2015-08-27,2015,8,August,27,3,False
20150828,2015-08-28,2015,8,August,28,3,False
20150829,2015-08-29,2015,8,August,29,3,True
20150830,2015-08-30,2015,8,August,30,3,True
20150831,2015-08-31,2015,8,August,31,3,False
