booking_id,hotel_id,date_id,reserved_room_type_id,assigned_room_type_id,country_id,market_segment_id,customer_segment_id,meal_id,is_canceled,booking_status,lead_time,total_nights,total_guests,adr,booking_value,estimated_revenue,booking_changes,days_in_waiting_list,required_car_parking_spaces,total_of_special_requests
1,1,20150701,1,2,1,1,1,1,0,Not Canceled,7,1,1,75,75,75,0,0,0,0
2,1,20150701,1,1,1,2,1,1,0,Not Canceled,13,1,1,75,75,75,0,0,0,0
3,1,20150701,1,1,1,3,1,1,0,Not Canceled,14,2,2,98,196,196,0,0,0,1
4,1,20150701,2,2,2,1,1,1,0,Not Canceled,0,2,2,107,214,214,0,0,0,0
5,1,20150701,2,2,2,1,1,2,0,Not Canceled,9,2,2,103,206,206,0,0,0,1
6,1,20150701,1,1,2,3,1,1,1,Canceled,85,3,2,82,246,0,0,0,0,1
7,1,20150701,3,3,2,4,1,3,1,Canceled,75,3,2,105.5,316.5,0,0,0,0,0
8,1,20150701,4,4,2,3,1,1,1,Canceled,23,4,2,123,492,0,0,0,0,0
9,1,20150701,3,3,2,3,1,3,0,Not Canceled,35,4,2,145,580,580,0,0,0,0
10,1,20150701,3,4,3,3,1,1,0,Not Canceled,68,4,2,97,388,388,0,0,0,3
11,1,20150701,5,5,4,3,1,3,0,Not Canceled,18,4,3,154.77,619.08,619.08,1,0,0,1
12,1,20150701,4,4,2,3,1,1,0,Not Canceled,37,4,2,94.71,378.84,378.84,0,0,0,0
13,1,20150701,3,4,5,3,1,1,0,Not Canceled,68,4,2,97,388,388,0,0,0,3
14,1,20150701,4,4,2,4,2,1,0,Not Canceled,37,4,2,97.5,390,390,0,0,0,0
15,1,20150701,1,4,5,3,1,1,0,Not Canceled,12,1,2,88.2,88.2,88.2,0,0,0,0
16,1,20150701,1,5,6,2,1,1,0,Not Canceled,0,1,2,107.42,107.42,107.42,0,0,0,0
17,1,20150701,5,5,1,1,1,1,0,Not Canceled,7,4,2,153,612,612,0,0,0,1
18,1,20150701,6,6,1,3,1,1,0,Not Canceled,37,5,1,97.29,486.45,486.45,0,0,0,1
19,1,20150701,1,1,2,1,1,1,0,Not Canceled,72,6,2,84.67,508.02,508.02,1,0,0,1
20,1,20150701,3,3,2,1,1,1,0,Not Canceled,72,6,2,99.67,598.02,598.02,1,0,0,1
21,1,20150701,3,10,1,4,2,3,0,Not Canceled,127,7,2,94.95,664.65,664.65,0,0,0,1
22,1,20150701,3,3,2,4,1,1,0,Not Canceled,78,7,2,63.6,445.2,445.2,0,0,1,0
23,1,20150701,3,3,5,4,2,1,0,Not Canceled,48,7,2,79.5,556.5,556.5,0,0,0,0
24,1,20150701,4,4,2,3,1,1,1,Canceled,60,7,2,107,749,0,0,0,0,2
25,1,20150701,1,1,2,3,1,1,0,Not Canceled,77,7,2,94,658,658,0,0,0,0
26,1,20150701,3,3,2,3,1,1,0,Not Canceled,99,7,2,87.3,611.1,611.1,0,0,1,1
27,1,20150701,1,1,7,1,1,1,0,Not Canceled,118,14,1,62,868,868,2,0,0,2
28,1,20150701,3,3,1,4,1,1,0,Not Canceled,95,15,2,63.86,957.9,957.9,0,0,0,0
29,1,20150701,4,4,2,1,1,1,1,Canceled,96,10,2,108.3,1083,0,0,0,0,2
30,1,20150702,1,2,5,4,1,1,0,Not Canceled,69,6,2,65.5,393,393,0,0,0,0
31,1,20150702,3,3,2,3,1,1,1,Canceled,45,4,3,108.8,435.2,0,0,0,0,1
32,1,20150702,3,3,2,3,1,1,1,Canceled,40,4,3,108.8,435.2,0,0,0,0,1
33,1,20150702,1,2,4,3,1,1,0,Not Canceled,15,4,2,98,392,392,0,0,0,0
34,1,20150702,3,3,2,3,1,1,0,Not Canceled,36,4,3,108.8,435.2,435.2,0,0,0,1
35,1,20150702,3,3,2,3,1,1,1,Canceled,43,4,3,108.8,435.2,0,0,0,0,0
36,1,20150702,4,4,8,1,1,3,0,Not Canceled,70,5,2,137,685,685,0,0,0,1
37,1,20150702,5,5,2,3,1,1,1,Canceled,45,5,2,117.81,589.05,0,0,0,0,0
38,1,20150702,3,3,5,4,2,1,0,Not Canceled,45,5,2,79.5,397.5,397.5,0,0,0,0
39,1,20150702,6,6,4,1,1,1,0,Not Canceled,16,5,2,123,615,615,0,0,0,0
40,1,20150702,1,1,2,3,1,1,0,Not Canceled,107,7,2,110.7,774.9,774.9,0,0,0,2
41,1,20150702,5,5,2,3,1,1,1,Canceled,47,7,4,153,1071,0,0,0,0,0
42,1,20150702,1,1,4,4,1,1,0,Not Canceled,96,7,2,58.95,412.65,412.65,0,0,0,1
43,1,20150702,4,4,9,4,3,1,0,Not Canceled,113,7,2,82.88,580.16,580.16,0,0,0,2
44,1,20150702,1,9,1,4,2,3,0,Not Canceled,90,7,2,82.35,576.45,576.45,1,0,0,0
45,1,20150702,4,6,5,3,1,3,0,Not Canceled,50,7,2,119.35,835.45,835.45,1,0,0,1
46,1,20150702,3,3,9,4,3,1,0,Not Canceled,113,7,2,67.58,473.06,473.06,0,0,0,2
47,1,20150702,1,1,5,4,2,1,0,Not Canceled,93,11,2,56.01,616.11,616.11,0,0,0,0
48,1,20150702,3,3,10,4,2,1,0,Not Canceled,76,14,2,110.7,1549.8,1549.8,0,0,0,0
49,1,20150702,1,2,4,3,1,1,0,Not Canceled,3,1,2,88.2,88.2,88.2,0,0,1,0
50,1,20150702,7,7,11,3,1,1,0,Not Canceled,1,1,2,147,147,147,0,0,1,0
51,1,20150702,2,2,4,1,1,1,0,Not Canceled,1,1,4,107,107,107,0,0,1,2
52,1,20150702,7,7,2,1,1,1,0,Not Canceled,0,1,2,147,147,147,0,0,0,0
53,1,20150702,1,3,2,3,1,1,0,Not Canceled,0,1,2,117.9,117.9,117.9,0,0,0,2
54,1,20150702,5,5,2,1,1,1,0,Not Canceled,0,1,2,123,123,123,0,0,0,0
55,1,20150702,1,2,3,3,1,1,0,Not Canceled,14,2,2,98,196,196,0,0,0,1
56,1,20150702,5,5,2,3,1,1,0,Not Canceled,10,2,2,117.81,235.62,235.62,0,0,0,0
57,1,20150702,4,4,5,3,1,1,0,Not Canceled,5,2,2,135,270,270,0,0,1,2
58,1,20150702,6,6,4,1,1,1,0,Not Canceled,17,3,2,133,399,399,0,0,0,1
59,1,20150702,1,2,5,4,2,1,0,Not Canceled,93,3,2,58.95,176.85,176.85,0,0,0,0
60,1,20150702,1,1,2,3,1,3,1,Canceled,3,3,2,136.33,408.99,0,0,0,0,2
61,1,20150703,5,7,3,3,1,1,0,Not Canceled,10,2,4,153,306,306,0,0,1,0
62,1,20150703,1,2,4,3,1,1,0,Not Canceled,3,2,2,110.5,221,221,0,0,0,0
63,1,20150703,3,3,12,3,1,1,0,Not Canceled,51,2,2,97,194,194,0,0,0,0
64,1,20150703,1,1,2,4,1,1,1,Canceled,71,2,3,110.3,220.6,0,0,0,0,2
65,1,20150703,1,1,2,3,1,1,1,Canceled,63,2,2,82,164,0,0,0,0,2
66,1,20150703,3,3,2,3,1,1,1,Canceled,62,2,2,97,194,0,0,0,0,1
67,1,20150703,1,1,2,3,1,1,1,Canceled,101,2,2,73.8,147.6,0,0,0,0,1
68,1,20150703,1,1,2,4,1,3,0,Not Canceled,2,2,2,91.5,183,183,0,0,0,0
69,1,20150703,1,1,4,3,1,1,0,Not Canceled,15,2,2,114.5,229,229,0,0,0,0
70,1,20150703,1,1,2,3,1,1,1,Canceled,51,2,3,110.3,220.6,0,0,0,0,0
71,1,20150703,1,1,4,3,1,1,0,Not Canceled,3,3,2,90.9,272.7,272.7,0,0,1,0
72,1,20150703,4,4,2,3,1,1,1,Canceled,48,3,2,123,369,0,0,0,0,0
73,1,20150703,1,1,2,3,1,1,0,Not Canceled,2,4,1,122,488,488,0,0,0,0
74,1,20150703,1,1,13,4,1,1,0,Not Canceled,72,4,2,110.7,442.8,442.8,0,0,1,0
75,1,20150703,3,3,2,4,1,1,0,Not Canceled,81,8,3,85.86,686.88,686.88,0,0,0,0
76,1,20150703,1,1,6,4,2,1,0,Not Canceled,99,9,2,58.95,530.55,530.55,0,0,0,0
77,1,20150703,1,1,2,4,2,1,1,Canceled,368,10,2,55.68,556.8,0,0,0,0,0
78,1,20150703,1,1,1,4,2,1,0,Not Canceled,364,10,2,55.68,556.8,556.8,0,0,0,0
79,1,20150703,1,1,2,1,1,3,1,Canceled,81,10,2,124,1240,0,2,0,0,1
80,1,20150703,4,4,1,4,2,3,0,Not Canceled,99,10,2,111.15,1111.5,1111.5,0,0,0,0
81,1,20150703,4,4,1,4,2,3,0,Not Canceled,324,14,2,134.73,1886.22,1886.22,0,0,0,0
82,1,20150703,6,6,1,3,1,1,0,Not Canceled,69,14,2,92.45,1294.3,1294.3,1,0,0,1
83,1,20150703,1,1,2,4,1,1,1,Canceled,79,21,3,108.73,2283.33,0,0,0,0,2
84,1,20150703,1,2,1,3,1,1,0,Not Canceled,12,1,2,73.8,73.8,73.8,0,0,0,0
85,1,20150703,1,2,2,3,1,1,0,Not Canceled,9,1,2,98,98,98,0,0,1,2
86,1,20150703,1,2,4,3,1,1,0,Not Canceled,1,1,2,131,131,131,0,0,0,1
87,1,20150703,4,4,2,3,1,1,0,Not Canceled,21,1,2,123,123,123,0,0,0,0
88,1,20150703,2,2,3,3,1,1,0,Not Canceled,9,1,2,94.71,94.71,94.71,0,0,0,0
89,1,20150703,1,1,14,3,1,1,0,Not Canceled,109,1,2,123,123,123,0,0,0,2
90,1,20150703,1,1,2,3,1,1,1,Canceled,109,2,2,123,246,0,0,0,0,1
91,1,20150703,1,1,2,3,1,1,1,Canceled,72,2,2,73.8,147.6,0,0,0,0,1
92,1,20150703,6,6,2,3,1,1,1,Canceled,63,7,2,117,819,0,0,0,0,1
93,1,20150703,4,4,4,4,1,3,0,Not Canceled,63,7,3,196.54,1375.78,1375.78,0,0,0,1
94,1,20150703,3,3,2,3,1,1,0,Not Canceled,101,7,3,99.3,695.1,695.1,0,0,1,2
95,1,20150703,4,4,13,1,1,1,0,Not Canceled,102,7,2,90.95,636.65,636.65,0,0,0,0
96,1,20150704,1,2,4,1,1,1,0,Not Canceled,4,3,2,92.67,278.01,278.01,0,0,0,1
97,1,20150704,3,3,6,4,1,1,0,Not Canceled,98,3,2,71.55,214.65,214.65,0,0,1,0
98,1,20150704,6,6,6,4,1,1,0,Not Canceled,92,6,3,96.49,578.94,578.94,0,0,0,2
99,1,20150704,1,2,2,3,1,1,0,Not Canceled,95,6,2,85.8,514.8,514.8,0,0,1,2
100,1,20150704,4,4,2,3,1,1,0,Not Canceled,102,7,2,96.3,674.1,674.1,0,0,0,1
101,1,20150704,7,7,2,3,1,1,1,Canceled,26,7,4,163,1141,0,0,0,0,0
102,1,20150704,3,3,2,1,1,3,1,Canceled,73,7,3,172,1204,0,0,0,0,1
103,1,20150704,1,1,2,3,1,1,1,Canceled,102,7,2,110.7,774.9,0,0,0,0,1
104,1,20150704,1,1,2,4,1,1,0,Not Canceled,115,7,2,58.95,412.65,412.65,0,0,0,1
105,1,20150704,1,1,2,3,1,1,0,Not Canceled,102,7,3,73.8,516.6,516.6,0,0,0,2
106,1,20150704,3,3,15,3,1,1,0,Not Canceled,86,7,2,97,679,679,0,0,0,2
107,1,20150704,4,6,2,3,1,3,0,Not Canceled,78,7,3,139,973,973,0,0,0,2
108,1,20150704,1,1,1,3,1,1,0,Not Canceled,52,7,2,67.24,470.68,470.68,0,0,0,0
109,1,20150704,4,4,2,3,1,1,0,Not Canceled,29,8,3,116.5,932,932,0,0,0,1
110,1,20150704,4,4,2,3,1,1,1,Canceled,101,8,2,96.3,770.4,0,0,0,0,1
111,1,20150704,1,1,2,3,1,1,0,Not Canceled,109,8,2,123,984,984,0,0,0,1
112,1,20150704,3,3,1,4,2,1,0,Not Canceled,92,10,2,71.55,715.5,715.5,0,0,0,1
113,1,20150704,3,3,2,4,2,1,0,Not Canceled,92,10,2,71.55,715.5,715.5,0,0,0,1
114,1,20150704,3,3,2,1,1,3,0,Not Canceled,79,10,3,149,1490,1490,1,0,0,1
115,1,20150704,7,5,2,3,1,1,0,Not Canceled,2,1,4,163,163,163,1,0,1,0
116,1,20150704,3,2,2,4,2,1,0,Not Canceled,30,1,2,79.5,79.5,79.5,0,0,0,0
117,1,20150704,1,1,2,3,1,3,1,Canceled,51,1,1,105,105,0,0,0,0,0
118,1,20150704,4,5,2,1,1,1,1,Canceled,36,1,1,123,123,0,1,0,0,0
119,1,20150704,1,1,2,3,1,1,1,Canceled,73,1,2,73.8,73.8,0,0,0,0,2
120,1,20150704,3,3,2,3,1,1,1,Canceled,33,1,2,113,113,0,0,0,0,0
121,1,20150704,7,7,2,5,1,2,0,Not Canceled,32,1,4,0,0,0,2,0,0,1
122,1,20150704,4,4,4,3,1,1,0,Not Canceled,8,1,2,123,123,123,0,0,0,0
123,1,20150704,1,2,6,3,3,1,0,Not Canceled,100,2,2,73.8,147.6,147.6,0,0,1,1
124,1,20150704,1,1,2,3,1,1,0,Not Canceled,1,2,2,114.5,229,229,0,0,0,0
125,1,20150704,1,1,6,3,3,1,0,Not Canceled,100,2,2,73.8,147.6,147.6,0,0,0,2
126,1,20150704,1,2,6,3,3,1,0,Not Canceled,100,2,2,73.8,147.6,147.6,0,0,0,1
127,1,20150705,1,2,4,3,1,1,0,Not Canceled,9,1,2,88.2,88.2,88.2,0,0,0,1
128,1,20150705,3,3,2,3,1,1,1,Canceled,5,1,2,97,97,0,0,0,0,0
129,1,20150705,1,2,4,3,1,1,0,Not Canceled,0,1,2,85.1,85.1,85.1,1,0,0,0
130,1,20150705,1,1,13,3,1,1,0,Not Canceled,9,1,1,89,89,89,0,0,0,0
131,1,20150705,1,3,2,3,1,1,0,Not Canceled,2,1,1,80.1,80.1,80.1,0,0,0,0
132,1,20150705,1,4,2,3,1,1,0,Not Canceled,2,1,2,98,98,98,0,0,0,0
133,1,20150705,1,1,13,3,1,1,0,Not Canceled,9,1,1,101,101,101,0,0,1,0
134,1,20150705,5,5,2,1,1,1,0,Not Canceled,2,1,2,167,167,167,0,0,0,1
135,1,20150705,5,5,2,3,1,3,0,Not Canceled,44,2,3,225,450,450,3,0,2,0
136,1,20150705,3,4,6,3,1,1,0,Not Canceled,80,2,2,97,194,194,0,0,1,0
137,1,20150705,3,3,4,3,1,1,0,Not Canceled,97,4,2,87.3,349.2,349.2,0,0,0,2
138,1,20150705,1,3,16,4,1,1,0,Not Canceled,109,5,3,85.59,427.95,427.95,0,0,1,2
139,1,20150705,4,4,4,3,1,1,0,Not Canceled,30,5,2,123,615,615,0,0,0,0
140,1,20150705,4,4,2,3,1,1,0,Not Canceled,64,5,2,107,535,535,0,0,0,0
141,1,20150705,7,7,4,3,1,1,0,Not Canceled,39,6,2,163,978,978,0,0,0,0
142,1,20150705,1,1,2,3,1,1,0,Not Canceled,90,6,2,82,492,492,0,0,0,0
143,1,20150705,7,7,2,3,1,1,1,Canceled,34,6,4,163,978,0,0,0,0,0
144,1,20150705,3,3,2,4,1,3,1,Canceled,93,7,2,105.5,738.5,0,0,0,0,0
145,1,20150705,2,2,2,1,1,3,0,Not Canceled,97,7,4,164.2,1149.4,1149.4,1,0,1,1
146,1,20150705,6,6,5,3,1,1,0,Not Canceled,29,7,2,97.29,681.03,681.03,0,0,0,1
147,1,20150705,1,1,2,3,1,3,1,Canceled,101,7,2,114,798,0,0,0,0,1
148,1,20150705,4,4,4,4,1,1,0,Not Canceled,27,7,2,98.4,688.8,688.8,0,0,0,0
149,1,20150705,7,7,15,3,1,1,0,Not Canceled,8,9,4,175,1575,1575,1,0,1,1
150,1,20150705,3,3,2,4,1,1,0,Not Canceled,82,10,2,63.6,636,636,0,0,1,2
151,1,20150705,3,2,2,1,1,1,0,Not Canceled,94,10,3,124.45,1244.5,1244.5,3,0,1,1
152,1,20150705,3,3,1,4,2,1,0,Not Canceled,110,11,2,110.7,1217.7,1217.7,0,0,0,0
153,1,20150705,1,1,1,4,2,3,0,Not Canceled,96,14,1,74.07,1036.98,1036.98,0,0,0,0
154,1,20150705,3,3,1,4,2,3,0,Not Canceled,79,14,2,134.1,1877.4,1877.4,0,0,0,0
155,1,20150706,5,5,2,3,1,1,0,Not Canceled,115,5,4,167,835,835,1,0,0,0
156,1,20150706,1,2,2,3,1,1,0,Not Canceled,111,4,2,123,492,492,0,0,0,2
157,1,20150706,5,5,3,3,1,1,0,Not Canceled,51,4,2,117.81,471.24,471.24,0,0,1,2
158,1,20150706,3,3,16,4,1,1,0,Not Canceled,94,4,3,171.32,685.28,685.28,0,0,0,1
159,1,20150706,5,5,15,1,1,3,0,Not Canceled,81,4,4,210,840,840,0,0,1,0
160,1,20150706,3,4,2,3,1,1,0,Not Canceled,84,4,3,97,388,388,1,0,0,2
161,1,20150706,5,5,3,3,1,1,0,Not Canceled,51,4,3,117.81,471.24,471.24,0,0,0,2
162,1,20150706,1,4,2,1,1,1,0,Not Canceled,2,1,3,131,131,131,0,0,0,0
163,1,20150706,1,4,2,3,1,1,0,Not Canceled,7,2,2,98,196,196,0,0,0,2
164,1,20150706,3,6,3,3,1,1,0,Not Canceled,98,2,2,87.3,174.6,174.6,0,0,1,1
165,1,20150706,3,3,17,3,1,1,0,Not Canceled,95,3,2,97,291,291,0,0,0,1
166,1,20150706,4,4,2,3,1,3,1,Canceled,48,4,2,167,668,0,0,0,0,0
167,1,20150706,1,4,2,4,1,3,0,Not Canceled,66,4,2,91.5,366,366,0,0,0,0
168,1,20150706,1,2,2,3,1,1,0,Not Canceled,104,4,2,73.8,295.2,295.2,1,0,0,1
169,1,20150706,4,4,2,3,1,1,0,Not Canceled,28,5,2,123,615,615,0,0,0,0
170,1,20150706,6,6,2,1,1,3,0,Not Canceled,34,5,2,175,875,875,0,0,1,0
171,1,20150706,1,2,4,3,1,3,0,Not Canceled,98,6,2,117.8,706.8,706.8,0,0,1,1
172,1,20150706,4,4,2,3,1,1,0,Not Canceled,104,6,2,117.63,705.78,705.78,1,0,0,0
173,1,20150706,5,5,2,3,1,3,0,Not Canceled,68,7,4,185,1295,1295,0,0,0,0
174,1,20150706,1,1,2,4,1,3,1,Canceled,86,7,1,71,497,0,0,0,0,1
175,1,20150706,1,1,1,4,2,1,0,Not Canceled,258,7,2,47.25,330.75,330.75,0,0,0,0
176,1,20150706,1,2,2,3,1,3,0,Not Canceled,111,8,2,151,1208,1208,0,0,0,1
177,1,20150706,3,3,2,3,1,1,1,Canceled,94,10,2,87.3,873,0,0,0,0,0
178,1,20150706,1,1,1,4,1,1,0,Not Canceled,112,10,2,120.6,1206,1206,0,0,0,1
179,1,20150706,3,3,1,4,1,1,0,Not Canceled,100,10,2,63.86,638.6,638.6,1,0,0,1
180,1,20150706,6,6,2,1,1,3,0,Not Canceled,33,10,2,157.1,1571,1571,5,0,0,1
181,1,20150706,3,3,1,4,2,3,0,Not Canceled,97,10,2,91.37,913.7,913.7,0,0,0,2
182,1,20150706,1,1,6,1,1,1,0,Not Canceled,80,11,1,73,803,803,1,0,0,0
183,1,20150706,3,3,18,4,2,1,0,Not Canceled,90,14,2,110.7,1549.8,1549.8,0,0,0,0
184,1,20150706,1,1,1,4,2,1,0,Not Canceled,111,14,2,93.6,1310.4,1310.4,0,0,0,0
185,1,20150706,3,3,2,4,1,1,0,Not Canceled,65,7,2,83.5,584.5,584.5,0,0,0,0
186,1,20150707,1,1,2,3,1,1,1,Canceled,67,2,2,73.8,147.6,0,0,0,0,1
187,1,20150707,1,1,4,3,1,1,0,Not Canceled,55,3,2,82,246,246,0,0,1,2
188,1,20150707,6,6,2,1,1,3,0,Not Canceled,21,3,3,185.5,556.5,556.5,0,0,0,1
189,1,20150707,1,1,1,3,1,1,0,Not Canceled,0,1,1,109.8,109.8,109.8,0,0,0,3
190,1,20150707,2,2,2,1,1,3,0,Not Canceled,0,1,3,195,195,195,0,0,1,0
191,1,20150707,7,7,4,3,1,1,0,Not Canceled,8,4,5,193,772,772,2,0,0,1
192,1,20150707,3,3,2,3,1,1,0,Not Canceled,66,4,2,97,388,388,0,0,0,2
193,1,20150707,3,4,3,4,1,3,0,Not Canceled,88,4,3,150,600,600,0,0,0,1
194,1,20150707,1,1,19,1,1,1,0,Not Canceled,0,4,2,98,392,392,2,0,0,0
195,1,20150707,1,1,2,4,1,3,1,Canceled,43,5,2,91.5,457.5,0,0,0,0,0
196,1,20150707,4,4,2,3,1,3,1,Canceled,88,7,2,139,973,0,0,0,0,2
197,1,20150707,3,3,5,4,1,1,0,Not Canceled,54,7,2,79.5,556.5,556.5,0,0,0,0
198,1,20150707,1,1,2,4,2,1,1,Canceled,292,7,2,47.25,330.75,0,0,0,0,0
199,1,20150707,3,3,5,4,2,3,0,Not Canceled,112,14,2,126.65,1773.1,1773.1,0,0,0,1
200,1,20150708,4,4,1,3,1,1,0,Not Canceled,68,3,2,107,321,321,0,0,0,1
201,1,20150708,1,1,2,3,1,1,0,Not Canceled,7,4,2,131,524,524,0,0,1,2
202,1,20150708,1,1,4,3,1,1,0,Not Canceled,1,4,2,131,524,524,0,0,1,1
203,1,20150708,1,1,2,3,1,1,1,Canceled,113,4,2,123,492,0,0,0,0,1
204,1,20150708,3,3,4,3,1,1,0,Not Canceled,5,4,2,146,584,584,0,0,0,1
205,1,20150708,1,1,2,4,1,1,0,Not Canceled,83,4,2,110.7,442.8,442.8,0,0,0,1
206,1,20150708,1,1,2,3,1,1,1,Canceled,105,4,2,73.8,295.2,0,0,0,0,1
207,1,20150708,1,1,2,4,1,1,0,Not Canceled,0,1,1,61,61,61,0,0,0,0
208,1,20150708,1,1,2,2,1,1,1,Canceled,1,1,2,104.72,104.72,0,0,0,0,1
209,1,20150708,1,6,15,2,1,1,0,Not Canceled,1,2,2,104.72,209.44,209.44,0,0,1,1
210,1,20150708,1,1,2,1,1,1,1,Canceled,102,5,2,66.42,332.1,0,0,0,0,1
